id,name,gender,birth,nationality
2417,"Calvert, Charles",Male,1785,United Kingdom
81,"Calvert, Edward",Male,1799,United Kingdom
6260,"Calzadilla, Guillermo",Male,1971, Cuba
850,"Camargo, Sergio de",Male,1930, Brasil
852,"Cameron, Katherine",Female,1874,United Kingdom
851,"Cameron, Sir David",Male,1865,United Kingdom
6211,"Camnitzer, Luis",Male,1937,Germany
853,"Camp, Jeffery",Male,1923,United Kingdom
12393,"Campbell, Duncan",Male,1972,Ireland
2385,"Campbell, James",Male,1828,United Kingdom
854,"Campbell, Steven",Male,1954,United Kingdom
82,"Campion, George B.",Male,1796,
11797,"Campus, Peter",Male,1937,United States
2302,Canaletto,Male,1697,Italy
13793,"Caniaris, Vlassis",Male,1928,Greece
855,"Canin, Martin",Male,1927,United States
12113,"Cantor, Ellen",Female,1963,United States
10272,"Cao, Fei",Female,1978,China
856,"Capel Doray, Audrey",Female,1931, Canada
857,"Carder, Malcolm",Male,1936,
8803,"Cardew, Michel",Male,1901,United Kingdom
4499,"Cardiff, Janet",Female,1957, Canada
859,"Cardoso, José, Junior",Male,1861,Portugal
9119,"Cardoso, Maria",Female,1963, Colombia
83,"Carline, George",Male,1855,United Kingdom
860,"Carline, Hilda",Female,1889,United Kingdom
861,"Carline, Nancy",Female,1909,United Kingdom
862,"Carline, Richard",Male,1896,United Kingdom
863,"Carline, Sydney",Male,1888,United Kingdom
84,"Carlisle, George Howard, Ninth Earl of",Male,1843,United Kingdom
864,"Carlo, Michael",Male,1945,United Kingdom
5248,"Carnegie, Gillian",Female,1971,United Kingdom
11738,"Carneiro, André",Male,1922, Brasil
16015,"Caro, Antonio",Male,1950, Colombia
865,"Caro, Sir Anthony",Male,1924,United Kingdom
866,"Carr, Thomas",Male,1909,United Kingdom
867,"Carrière, Eugène",Male,1849, Département de la
868,"Carrington, Dora",Female,1893,United Kingdom
7615,"Carrington, Leonora",Female,1917,United Kingdom
869,"Carter, B.A.R.",Male,1909,United Kingdom
85,"Carter, Hugh",Male,1837,United Kingdom
7079,"Carter, Nathan",Male,1970,United States
86,"Carter, Samuel John",Male,1835,United Kingdom
870,"Carter, William",Male,1863,United Kingdom
2729,"Cartier-Bresson, Henri",Male,1908,France
2484,"Carwitham, Thomas",Male,1713,
2105,"Casas, Juan Vila",Male,1920,Spain
4624,"Casebere, James",Male,1953,United States
871,"Cast, Jesse Dale",Male,1900,
87,"Cattermole, George",Male,1800,United Kingdom
873,"Caulfield, Patrick",Male,1936,United Kingdom
874,"Cazin, Jean-Charles",Male,1841,France
875,"Cazin, Marie",Female,1844,France
876,"Celic, Stojan",Male,1925,
877,"Celice, Pierre",Male,1932,France
2731,"Celmins, Vija",Female,1938,Lativa
878,César,Male,1921,France
879,"Cézanne, Paul",Male,1839,France
2253,"Chadwick, Helen",Female,1953,United Kingdom
880,"Chadwick, Lynn",Male,1914,United Kingdom
881,"Chagall, Marc",Male,1887, Belarus
882,"Chaimowicz, Marc Camille",Male,1947,France
883,"Challenger, Michael",Male,1939,United Kingdom
88,"Chalon, Henry Bernard",Male,1770,
884,"Chamberlain, Christopher",Male,1918,United Kingdom
885,"Chamberlain, John",Male,1927,United States
89,"Chambers, George",Male,1803,United Kingdom
16108,"Chanarin, Oliver",Male,1971,United Kingdom
2340,"Chandler, J.W.",Male,1770,
886,"Chandra, Avinash",Male,1931,India
887,"Chaney, Israel",Male,,
11556,"Channer, Alice",Female,1977,United Kingdom
90,"Chantrey, Sir Francis Legatt",Male,1781,
888,"Chaplin, Bob",Male,1947,United Kingdom
4335,"Chapman, Dinos",Male,1962,United Kingdom
2614,"Chapman, Jake",Male,1966,United Kingdom
889,"Chappell, William",Male,1907,United Kingdom
890,"Charbonneau, Monique",Female,1928, Canada
91,"Charles, James",Male,1851,United Kingdom
891,"Charlton, Alan",Male,1948,United Kingdom
2390,"Charlton, Evan",Male,1904,United Kingdom
892,"Charlton, George",Male,1899,United Kingdom
893,"Charnay, Armand",Male,1844,France
